kp_uav,kp_patch,raw_matches,good_matches,good_ratio,homography_inliers,homography_ratio,num_3d2d_corr,pnp_inliers_anchor,pnp_ratio_anchor,anchor_easting_est,anchor_northing_est,anchor_altitude_est,anchor_easting_delta,anchor_northing_delta,anchor_altitude_delta,anchor_yaw_est,anchor_pitch_est,anchor_roll_est,anchor_yaw_delta,anchor_pitch_delta,anchor_roll_delta,reproj_error_anchor_mean,reproj_error_anchor_std,pnp_inliers_prior,pnp_ratio_prior,prior_easting_est,prior_northing_est,prior_altitude_est,prior_easting_delta,prior_northing_delta,prior_altitude_delta,prior_yaw_est,prior_pitch_est,prior_roll_est,prior_yaw_delta,prior_pitch_delta,prior_roll_delta,reproj_error_prior_mean,reproj_error_prior_std,gps_easting,gps_northing,gps_altitude,imu_yaw,imu_pitch,imu_roll,image_id,filename
8000,8001,59,49,0.8305084745762712,49,1.0,49,48,0.9795918367346939,445652.47338794655,5696618.192805915,479.77624858617247,-0.3951850891462527,-0.8532685898244381,-0.23858295679633557,-128.1405135867216,15.295754360150973,0.39504623823777185,-1.2956996637053066,-0.2142943841086833,-1.6682727116007356,0.47413945,0.31427595,48,0.9795918367346939,445652.4733879463,5696618.192805915,479.77624858612234,-0.39518508937908337,-0.8532685898244381,-0.23858295684647146,-128.14051358653933,15.295754360828338,0.39504623754024104,-1.2956996635230666,-0.2142943834313087,-1.6682727122982612,0.47413945,0.31427595,445652.8685730357,5696619.046074505,480.0148315429688,-126.84481392301628,15.510048744259652,2.063318949838503,234,frame_000234.png
8001,8000,74,55,0.7432432432432432,55,1.0,55,55,1.0,445651.00379285676,5696616.525554294,479.77171461682957,-0.26967294211499393,-0.6235998002812266,-0.21507127184230512,-128.07335870896256,8.96638743522987,1.8154825887145727,-1.2141551674366156,1.4034873050333374,1.570628971774795,0.5122719,0.38682616,55,1.0,445651.0037928523,5696616.525554298,479.7717146164126,-0.2696729465969838,-0.6235997956246138,-0.2150712722592516,-128.07335870467506,8.966387431077356,1.815482562058037,-1.2141551631491154,1.403487300880812,1.5706289451182442,0.5122719,0.38682616,445651.2734657989,5696617.149154094,479.9867858886719,-126.85920354152594,7.562900130196543,0.24485361693977864,235,frame_000235.png
8001,8001,90,77,0.8555555555555555,77,1.0,77,76,0.987012987012987,445650.34294612304,5696615.629678615,479.78524015461784,-0.3508020866429433,-0.8328780131414533,-0.17081453288216153,-128.17969312350675,3.5050443855033993,2.1053163982798764,-1.2249717586965971,-0.2523731040575399,1.7869278662492718,0.48460513,0.30749944,76,0.987012987012987,445650.3429461228,5696615.6296786135,479.78524015454207,-0.35080208687577397,-0.8328780150040984,-0.1708145329579338,-128.17969312393274,3.5050443908264115,2.105316401302915,-1.2249717591225817,-0.2523730987345232,1.7869278692723185,0.48460513,0.30749944,445650.6937482097,5696616.4625566285,479.9560546875,-126.95472136481014,3.7574174895609302,0.3183885320306002,236,frame_000236.png
8000,8000,54,43,0.7962962962962963,43,1.0,43,39,0.9069767441860465,445648.2835336606,5696613.273101923,479.82239146172157,-0.2482840232551098,-0.6340246805921197,-0.09908680976280948,-127.90703737176035,-5.326407591809021,3.159434237822056,-1.2062068882459585,-0.6683994923469356,4.287733492032828,0.44748423,0.29111096,39,0.9069767441860465,445648.28353366075,5696613.273101923,479.82239146173174,-0.2482840230804868,-0.6340246805921197,-0.09908680975263451,-127.90703737170242,-5.326407592379702,3.1594342380636595,-1.206206888188035,-0.6683994929176151,4.287733492274441,0.44748423,0.29111096,445648.53181768383,5696613.907126604,479.9214782714844,-126.7008304835144,-4.658008099462074,-1.128299254210774,237,frame_000237.png
8000,8000,29,20,0.6896551724137931,20,1.0,20,20,1.0,445647.77835472155,5696612.714759685,479.81963968399214,-0.3087065677973442,-0.672383863478899,-0.08233785507036373,-127.90345528473242,-10.719459858775139,2.931725104848047,-1.196521189134188,-1.0723655030130033,3.8909896144887455,0.46113738,0.27889794,20,1.0,445647.77835472516,5696612.714759687,479.819639683829,-0.3087065641884692,-0.6723838616162539,-0.08233785523350434,-127.90345528244478,-10.719459872758163,2.9317251125095836,-1.196521186846553,-1.0723655169960296,3.8909896221503004,0.46113738,0.27889794,445648.08706128935,5696613.387143549,479.9019775390625,-126.70693409559823,-9.647094355762126,-0.9592645096407056,238,frame_000238.png
8000,8000,38,24,0.631578947368421,24,1.0,24,24,1.0,445647.3434522028,5696612.216611762,479.8381660122019,-0.3470385355176404,-0.7139829760417342,-0.04424975928247932,-127.74223003411777,-14.196488232502006,2.7973140653716126,-1.2208838978598635,-0.5776529021395618,3.831157214071567,0.51078516,0.2035538,24,1.0,445647.3434522034,5696612.216611762,479.83816601205274,-0.3470385349355638,-0.7139829760417342,-0.04424975943163645,-127.74223003347524,-14.196488233763755,2.797314067527937,-1.220883897217334,-0.5776529034013151,3.8311572162278935,0.51078516,0.2035538,445647.6904907383,5696612.930594738,479.8824157714844,-126.5213461362579,-13.61883533036245,-1.0338431486999522,239,frame_000239.png
8000,8002,50,33,0.66,33,1.0,33,33,1.0,445647.0952198244,5696611.836449886,479.81418949122735,-0.2810776127735153,-0.7347780922427773,-0.044208946272647154,-127.57259913847275,-14.81764391312182,2.7689899683292487,-1.1389544290297522,-0.9980320067693356,3.3724046592112984,0.4275189,0.20686829,33,1.0,445647.09521982446,5696611.836449886,479.8141894912212,-0.2810776127153076,-0.7347780922427773,-0.04420894627878624,-127.57259913843018,-14.817643913217234,2.7689899685385906,-1.1389544289871765,-0.9980320068647472,3.3724046594206243,0.4275189,0.20686829,445647.3762974372,5696612.571227978,479.8583984375,-126.43364470944299,-13.819611906352478,-0.6034146908820397,240,frame_000240.png
8000,8000,39,28,0.717948717948718,28,1.0,28,28,1.0,445646.9455386312,5696611.6943318285,479.7890618837642,-0.0421327396761626,-0.45431202929466963,-0.05752625100143405,-127.76827762713134,-12.338411363364534,3.125432050070064,-1.032042413468048,-1.1747988902197903,4.137665009651613,0.44745174,0.21366979,28,1.0,445646.9455386303,5696611.694331827,479.78906188397565,-0.042132740549277514,-0.4543120311573148,-0.05752625078997653,-127.76827762746336,-12.338411354973747,3.1254320520633914,-1.0320424138000703,-1.1747988818290196,4.137665011644941,0.44745174,0.21366979,445646.98767137085,5696612.148643858,479.8465881347656,-126.7362352136633,-11.163612473144731,-1.0122329595815596,241,frame_000241.png
8000,8002,71,37,0.5211267605633803,37,1.0,37,37,1.0,445646.7693135199,5696611.605078547,479.77492123269457,-0.1324849973898381,-0.47312754672020674,-0.0936700758991833,-128.0119233483248,-6.068516874170995,4.154292824075056,-1.0615952653474778,-1.4902997187899132,6.67133213978218,0.58689344,0.30345526,37,1.0,445646.76931352017,5696611.605078547,479.7749212325939,-0.1324849970987998,-0.47312754672020674,-0.093670075999853,-128.01192334818955,-6.068516873608475,4.1542928262811465,-1.061595265212219,-1.4902997182273907,6.671332141988273,0.58689344,0.30345526,445646.90179851727,5696612.078206094,479.86859130859375,-126.95032808297734,-4.578217155381087,-2.5170393157071334,242,frame_000242.png
8000,8000,62,36,0.5806451612903226,36,1.0,36,36,1.0,445646.73772202095,5696611.67233148,479.74735304300225,-0.11983632255578414,-0.3927149176597595,-0.12590745504462575,-128.37708127879398,-3.955554357615036,4.881279450609952,-1.1722388953151608,-0.7266653168188668,7.762713708658254,0.46499333,0.28079888,36,1.0,445646.73772200785,5696611.67233148,479.7473530455351,-0.11983633565250784,-0.3927149176597595,-0.1259074525117967,-128.37708128661515,-3.955554325720793,4.881279407781789,-1.1722389031363036,-0.7266652849246213,7.762713665830091,0.46499333,0.28079888,445646.8575583435,5696612.065046398,479.8732604980469,-127.20484238347883,-3.2288890407961772,-2.8814342580483085,243,frame_000243.png
